ts_ms,received_ts_ms,window_slug,outcome,tick_type,price,size,side,best_bid,best_ask,timestamp
1774230691581,1774230691652,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:31.581
1774230691729,1774230691800,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:31.729
1774230691739,1774230691810,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:31.739
1774230691749,1774230691819,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:31.749
1774230691759,1774230691830,btc-updown-15m-1774230300,Up,trade,0.26,12.5,,0.25,0.26,2026-03-23 01:51:31.759
1774230691767,1774230691836,btc-updown-15m-1774230300,Up,trade,0.26,11.53846,,0.25,0.26,2026-03-23 01:51:31.767
1774230691779,1774230691848,btc-updown-15m-1774230300,Up,trade,0.26,11.53846,,0.25,0.26,2026-03-23 01:51:31.779
1774230691932,1774230692006,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:31.932
1774230692185,1774230692268,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:32.185
1774230692213,1774230692314,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:32.213
1774230692429,1774230692505,btc-updown-15m-1774230300,Up,book,,,,0.25,0.26,2026-03-23 01:51:32.429
1774230692433,1774230692508,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:32.433
1774230692464,1774230692541,btc-updown-15m-1774230300,Up,trade,0.26,10.0,,0.26,0.27,2026-03-23 01:51:32.464
1774230692789,1774230692860,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:32.789
1774230693121,1774230693191,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:33.121
1774230693126,1774230693201,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:33.126
1774230693247,1774230693319,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:33.247
1774230693585,1774230693694,btc-updown-15m-1774230300,Up,book,,,,0.26,0.27,2026-03-23 01:51:33.585
1774230693664,1774230693737,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:33.664
1774230693721,1774230693790,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:33.721
1774230693746,1774230693818,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:33.746
1774230693760,1774230693832,btc-updown-15m-1774230300,Up,trade,0.25,6.68,,0.24,0.25,2026-03-23 01:51:33.760
1774230693766,1774230693843,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:33.766
1774230693779,1774230693849,btc-updown-15m-1774230300,Up,trade,0.25,4.8,,0.24,0.25,2026-03-23 01:51:33.779
1774230693813,1774230693887,btc-updown-15m-1774230300,Up,trade,0.25,18.51,,0.24,0.25,2026-03-23 01:51:33.813
1774230693816,1774230693898,btc-updown-15m-1774230300,Up,book,,,,0.23,0.25,2026-03-23 01:51:33.816
1774230693862,1774230693945,btc-updown-15m-1774230300,Up,book,,,,0.23,0.24,2026-03-23 01:51:33.862
1774230693894,1774230693969,btc-updown-15m-1774230300,Up,trade,0.23,10.78,,0.23,0.24,2026-03-23 01:51:33.894
1774230694091,1774230694163,btc-updown-15m-1774230300,Up,book,,,,0.23,0.24,2026-03-23 01:51:34.091
1774230694259,1774230694330,btc-updown-15m-1774230300,Up,book,,,,0.23,0.24,2026-03-23 01:51:34.259
1774230694287,1774230694357,btc-updown-15m-1774230300,Up,trade,0.24,5.0,,0.23,0.24,2026-03-23 01:51:34.287
1774230694558,1774230694629,btc-updown-15m-1774230300,Up,book,,,,0.23,0.24,2026-03-23 01:51:34.558
1774230694878,1774230694959,btc-updown-15m-1774230300,Up,book,,,,0.23,0.25,2026-03-23 01:51:34.878
1774230694908,1774230694978,btc-updown-15m-1774230300,Up,trade,0.24,15.0,,0.23,0.25,2026-03-23 01:51:34.908
1774230695117,1774230695189,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:35.117
1774230695402,1774230695475,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:35.402
1774230696005,1774230696098,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:36.005
1774230696035,1774230696105,btc-updown-15m-1774230300,Up,trade,0.25,5.8,,0.24,0.25,2026-03-23 01:51:36.035
1774230696281,1774230696353,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:36.281
1774230696429,1774230696501,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:36.429
1774230696459,1774230696529,btc-updown-15m-1774230300,Up,trade,0.25,20.0,,0.24,0.25,2026-03-23 01:51:36.459
1774230696773,1774230696847,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:36.773
1774230696806,1774230696875,btc-updown-15m-1774230300,Up,trade,0.24,2.88,,0.24,0.25,2026-03-23 01:51:36.806
1774230696994,1774230697064,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:36.994
1774230697008,1774230697121,btc-updown-15m-1774230300,Up,book,,,,0.24,0.25,2026-03-23 01:51:37.008
1774230697024,1774230697122,btc-updown-15m-1774230300,Up,trade,0.25,4.8,,0.24,0.25,2026-03-23 01:51:37.024
